source,target,weight
AAT,CSX,1
AAT,YIC,1
ACX,AKU,1
ACX,AQG,1
ACX,BFJ,1
ACX,BSD,1
ACX,CGD,1
ACX,CGQ,1
ACX,CIF,1
ACX,CIH,1
ACX,CZX,1
ACX,DAX,1
ACX,DIG,1
ACX,DOY,1
ACX,DQA,1
ACX,FUG,1
ACX,HDG,1
ACX,HIA,1
ACX,HSN,1
ACX,HUZ,1
ACX,JGN,1
ACX,JIQ,1
ACX,JUZ,1
ACX,KHN,1
ACX,KWE,1
ACX,LXA,1
ACX,LZH,1
ACX,MXZ,1
ACX,NAO,1
ACX,NGB,1
ACX,NTG,1
ACX,NZH,1
ACX,PEK,1
ACX,RLK,1
ACX,SYM,1
ACX,TEN,1
ACX,TXN,1
ACX,WEH,1
ACX,WUA,1
ACX,XFN,1
ACX,XUZ,1
ACX,YBP,1
ACX,YNT,1
ACX,ZHY,1
ACX,ZQZ,1
ACX,ZYI,1
AKU,CZX,1
AKU,DLC,1
AKU,DQA,1
AKU,FUG,1
AKU,HDG,1
AKU,JHG,1
AKU,KWE,1
AKU,LYA,1
AKU,MXZ,1
AKU,NTG,1
AKU,PVG,1
AKU,RLK,1
AKU,SYM,1
AKU,SYX,1
AKU,SZX,1
AKU,TEN,1
AKU,WUA,1
AKU,XFN,1
AKU,YIC,1
AKU,ZQZ,1
AKU,ZYI,1
AQG,AAT,1
AQG,ACX,1
AQG,BPL,1
AQG,CGQ,1
AQG,CIF,1
AQG,CZX,1
AQG,DQA,1
AQG,FUG,1
AQG,HDG,1
AQG,HRB,1
AQG,HSN,1
AQG,KWE,1
AQG,LXA,1
AQG,LYA,1
AQG,LZH,1
AQG,MXZ,1
AQG,NAO,1
AQG,NBS,1
AQG,NGB,1
AQG,NTG,1
AQG,RLK,1
AQG,SYM,1
AQG,TEN,1
AQG,TXN,1
AQG,WUA,1
AQG,XFN,1
AQG,YBP,1
AQG,YIE,1
AQG,YIN,1
AQG,ZQZ,1
AQG,ZUH,1
AQG,ZYI,1
AVA,DNH,1
AVA,JDZ,1
AVA,JZH,1
AVA,KGT,1
AVA,KHG,1
AVA,OHE,1
AVA,TCZ,1
AVA,WEF,1
BFJ,ACX,1
BFJ,AKU,1
BFJ,AQG,1
BFJ,BHY,1
BFJ,CGD,1
BFJ,CGQ,1
BFJ,CIH,1
BFJ,CZX,1
BFJ,DAT,1
BFJ,DIG,1
BFJ,DOY,1
BFJ,FUG,1
BFJ,HDG,1
BFJ,HIA,1
BFJ,HSN,1
BFJ,JUH,1
BFJ,KOW,1
BFJ,LXA,1
BFJ,LYA,1
BFJ,MDG,1
BFJ,NAO,1
BFJ,NAY,1
BFJ,NGB,1
BFJ,NLT,1
BFJ,RLK,1
BFJ,SHP,1
BFJ,TAO,1
BFJ,TVS,1
BFJ,WEH,1
BFJ,WNZ,1
BFJ,XFN,1
BFJ,XMN,1
BFJ,XUZ,1
BFJ,YBP,1
BFJ,YNT,1
BFJ,YTY,1
BFJ,ZYI,1
BHY,ACX,1
BHY,AKU,1
BHY,AQG,1
BHY,BSD,1
BHY,CGD,1
BHY,CIH,1
BHY,CZX,1
BHY,DAT,1
BHY,DAX,1
BHY,DIG,1
BHY,DOY,1
BHY,GYS,1
BHY,HDG,1
BHY,HSN,1
BHY,HTN,1
BHY,HUZ,1
BHY,INC,1
BHY,JIQ,1
BHY,JNG,1
BHY,JXA,1
BHY,LUM,1
BHY,LYA,1
BHY,MDG,1
BHY,MIG,1
BHY,NGB,1
BHY,NLT,1
BHY,NNG,1
BHY,NTG,1
BHY,NZH,1
BHY,RLK,1
BHY,TAO,1
BHY,TVS,1
BHY,TYN,1
BHY,WEF,1
BHY,WEH,1
BHY,WNZ,1
BHY,WUA,1
BHY,XFN,1
BHY,XUZ,1
BHY,YIC,1
BHY,YIH,1
BHY,YNT,1
BHY,YTY,1
BHY,ZYI,1
BPL,DYG,1
BPL,HRB,1
BPL,JHG,1
BPL,LHW,1
BPL,YNJ,1
BSD,CZX,1
BSD,FUG,1
BSD,HDG,1
BSD,MXZ,1
BSD,NBS,1
BSD,RLK,1
BSD,XFN,1
BSD,ZQZ,1
BSD,ZYI,1
CAN,CKG,1
CAN,CZX,1
CAN,HAK,1
CAN,HFE,1
CAN,HGH,1
CAN,JHG,1
CAN,KMG,1
CAN,NKG,1
CAN,PEK,1
CAN,SHE,1
CAN,SYX,1
CAN,WUX,1
CAN,YBP,1
CAN,YIN,1
CAN,YNT,1
CAN,ZUH,1
CGD,BPL,1
CGD,CGQ,1
CGD,CIF,1
CGD,CZX,1
CGD,DQA,1
CGD,FUG,1
CGD,HDG,1
CGD,HFE,1
CGD,HRB,1
CGD,KWE,1
CGD,LXA,1
CGD,LYA,1
CGD,LZH,1
CGD,MXZ,1
CGD,NAO,1
CGD,NBS,1
CGD,NTG,1
CGD,RLK,1
CGD,SYM,1
CGD,TEN,1
CGD,TXN,1
CGD,XFN,1
CGD,YIE,1
CGD,YIH,1
CGD,YIN,1
CGD,ZQZ,1
CGD,ZYI,1
CGQ,AKU,1
CGQ,BPL,1
CGQ,CKG,1
CGQ,HFE,1
CGQ,HLD,1
CGQ,HRB,1
CGQ,JHG,1
CGQ,KMG,1
CGQ,KWL,1
CGQ,LHW,1
CGQ,LYA,1
CGQ,NNY,1
CGQ,SHE,1
CGQ,SYX,1
CGQ,SZX,1
CGQ,TNA,1
CGQ,WUH,1
CGQ,XIY,1
CGQ,YIC,1
CGQ,YIE,1
CGQ,YIN,1
CGQ,YNT,1
CGQ,ZUH,1
CIF,AAT,1
CIF,BPL,1
CIF,DYG,1
CIF,HFE,1
CIF,HLD,1
CIF,HRB,1
CIF,LHW,1
CIF,NBS,1
CIF,URC,1
CIF,UYN,1
CIF,YIE,1
CIF,YIN,1
CIF,YNJ,1
CIF,ZUH,1
CIH,CZX,1
CIH,DLC,1
CIH,FOC,1
CIH,HDG,1
CIH,HET,1
CIH,HFE,1
CIH,HRB,1
CIH,HTN,1
CIH,HUZ,1
CIH,INC,1
CIH,JGN,1
CIH,JIQ,1
CIH,JNG,1
CIH,JUH,1
CIH,LHW,1
CIH,LJG,1
CIH,LXA,1
CIH,LYA,1
CIH,LZH,1
CIH,NAY,1
CIH,NTG,1
CIH,RLK,1
CIH,TAO,1
CIH,TSN,1
CIH,TVS,1
CIH,WNZ,1
CIH,WUA,1
CIH,XFN,1
CIH,YIH,1
CIH,YIN,1
CIH,YTY,1
CIH,ZYI,1
CSX,AKU,1
CSX,CAN,1
CSX,CKG,1
CSX,CTU,1
CSX,DLC,1
CSX,HIA,1
CSX,HLD,1
CSX,HRB,1
CSX,INC,1
CSX,KHN,1
CSX,KMG,1
CSX,LHW,1
CSX,LYA,1
CSX,NKG,1
CSX,NNG,1
CSX,PEK,1
CSX,PVG,1
CSX,SHA,1
CSX,SYX,1
CSX,SZX,1
CSX,TNA,1
CSX,TSN,1
CSX,TYN,1
CSX,WNZ,1
CSX,XMN,1
CSX,YIC,1
CSX,YNT,1
CTU,CKG,1
CTU,SHE,1
CTU,SHP,1
CZX,AAT,1
CZX,BPL,1
CZX,CAN,1
CZX,CIF,1
CZX,DQA,1
CZX,DYG,1
CZX,HFE,1
CZX,JZH,1
CZX,LZH,1
CZX,MXZ,1
CZX,NAO,1
CZX,NAY,1
CZX,NGB,1
CZX,NTG,1
CZX,SYM,1
CZX,TEN,1
CZX,TXN,1
CZX,WUA,1
CZX,YIE,1
CZX,YIN,1
CZX,YNJ,1
CZX,YNZ,1
CZX,ZQZ,1
CZX,ZUH,1
DAT,BSD,1
DAT,CGD,1
DAT,DIG,1
DAT,DLU,1
DAT,DSN,1
DAT,IQN,1
DAT,JGN,1
DAT,JZH,1
DAT,KHG,1
DAT,NDG,1
DAT,OHE,1
DAT,ZAT,1
DAX,ACX,1
DAX,AKU,1
DAX,AQG,1
DAX,BSD,1
DAX,CGD,1
DAX,CZX,1
DAX,DAT,1
DAX,DIG,1
DAX,DOY,1
DAX,ENH,1
DAX,FOC,1
DAX,FUG,1
DAX,HDG,1
DAX,HIA,1
DAX,HLH,1
DAX,HSN,1
DAX,JGN,1
DAX,KHN,1
DAX,LXA,1
DAX,LYI,1
DAX,MIG,1
DAX,NAY,1
DAX,NLT,1
DAX,NTG,1
DAX,RLK,1
DAX,SHP,1
DAX,TAO,1
DAX,TSN,1
DAX,TVS,1
DAX,WEH,1
DAX,WUA,1
DAX,XFN,1
DAX,XUZ,1
DAX,YBP,1
DAX,YIH,1
DAX,YNT,1
DAX,YTY,1
DAX,ZHY,1
DAX,ZYI,1
DCY,DNH,1
DCY,JZH,1
DCY,KGT,1
DCY,KHG,1
DCY,OHE,1
DCY,TCZ,1
DDG,ACX,1
DDG,BFJ,1
DDG,DAT,1
DDG,DLU,1
DDG,DNH,1
DDG,DOY,1
DDG,ENH,1
