source,target,weight
AAT,URC,23.47945205479452
AAT,YIN,2.5
ACX,CKG,14.5
ACX,CSX,16.26086956521739
ACX,DLU,22.0
ACX,KWE,21.31882470119522
ACX,LHW,43.026666666666664
ACX,NAY,46.196574832464634
ACX,NGB,41.23603793466807
ACX,NKG,14.0
ACX,PEK,0.0
ACX,SHA,52.39374425022999
ACX,SZX,29.865947611710325
AEB,PVG,225.0
AEB,TSN,0.0
AEP,IGR,780.0
AKJ,SHA,46.0
AKL,BNE,73.0
AKL,SIN,29.833333333333332
AKL,ZQN,22.333333333333332
AKU,BPL,11.0
AKU,CGO,20.467391304347824
AKU,CKG,22.222972972972972
AKU,CTU,21.40135135135135
AKU,KHG,14.512195121951219
AKU,PEK,138.0
AKU,SHA,141.0
AKU,TAO,44.75
AKU,URC,30.25186013986014
ALA,DEL,0.0
ALA,URC,140.4
AMM,CAI,0.0
AMS,BLQ,12.5
AMS,BRS,14.0
AMS,BUD,18.0
AMS,CAN,281.0
AMS,DUB,45.0
AMS,DUS,0.0
AMS,LHR,436.5
AMS,LIS,64.0
AMS,LUX,9.0
AMS,MME,34.0
AMS,NCL,9.0
AOG,CAN,43.12907431551499
AOG,CTU,20.518072289156628
AOG,FOC,3.2
AOG,SWA,333.0
AQG,NGB,35.66608996539792
AQG,PEK,38.56401617250674
AQG,SZX,21.110576923076923
AQG,TVS,12.240196078431373
AQP,LIM,10.0
ARN,KEF,6.0
ASW,CAI,10.0
ATH,DXB,0.0
ATH,ZRH,6.0
ATL,DTW,22.0
ATL,GYE,0.0
ATL,ICT,0.0
ATL,PNS,9.0
ATQ,DEL,186.0
AUH,YYJ,30.0
AVA,CKG,34.492753623188406
AVA,HAK,26.117088607594937
AVA,JHG,19.837606837606838
AVA,KWL,8.371428571428572
AVA,LJG,22.723741007194246
AVA,NAY,55.98065476190476
AVA,SHA,49.42725173210162
AVA,TYN,126.0
AVA,XIY,24.732307692307693
AXF,DSN,27.5
AXF,EJN,28.08654602675059
AXF,HET,36.30409582689335
AXF,RHT,33.46127366609294
AXF,RLK,87.0
AXF,TSN,21.0
AXF,XIY,27.11550151975684
BAR,CAN,25.5625
BAR,CGO,132.66990291262135
BAR,HET,340.5
BAR,KHN,53.61849710982659
BAR,KWE,91.06818181818181
BAR,KWL,12.0
BAR,NGB,88.79439252336448
BAR,NTG,89.51351351351352
BAR,PEK,25.304347826086957
BAR,SHA,28.4
BAR,SJW,54.95
BAR,SZX,29.63157894736842
BAR,TAO,71.14285714285714
BAR,TYN,71.02
BAR,XUZ,60.04819277108434
BAV,AXF,26.291666666666668
BAV,CAN,52.161152614727854
BAV,CIF,27.9406015037594
BAV,CSX,18.363636363636363
BAV,DSN,929.1111111111111
BAV,HET,810.7391304347826
BAV,HLH,7.906666666666666
BAV,KWE,15.666666666666666
BAV,LHW,11.717190388170055
BAV,LYA,22.691176470588236
BAV,NKG,75.57930565010211
BAV,PEK,34.72043189368771
BAV,SYX,230.0
BAV,SZX,43.14545454545455
BAV,TAO,19.0
BAV,TGO,7.0
BAV,TNA,201.0
BAV,TSN,27.00642398286938
BAV,TYN,15.921775898520085
BAV,URC,20.28557784145177
BAV,WNZ,73.0
BAV,WUA,40.4639175257732
BAV,XMN,167.0
BAV,YIE,13.930232558139535
BCN,AMS,565.0
BCN,CDG,219.5
BCN,DXB,28.0
BCN,HEL,102.75
BCN,IST,16.0
BCN,MUC,8.0
BCN,NAP,22.0
BCN,ZRH,121.5
BEW,JNB,10.0
BFJ,CSX,24.558035714285715
BFJ,CTU,23.42396313364055
BFJ,HAK,21.677777777777777
BFJ,NAY,48.01952580195258
BFJ,NNG,24.742681047765792
BFJ,SJW,45.0
BFJ,SZX,32.608748481166465
BFJ,TYN,180.0
BFJ,WUH,22.135135135135137
BFJ,XIY,27.486940298507463
BFJ,XMN,44.64274322169059
BFJ,ZUH,5.0
BGY,SAW,175.0
BHX,BHD,490.0
BHY,CGO,21.0
BHY,CGQ,1.5
BHY,CKG,24.160473882606354
BHY,CSX,26.190070921985814
BHY,HJJ,36.49367088607595
BHY,KWE,30.57566765578635
BHY,KWL,21.300087489063866
BHY,LJG,18.934093789607097
BHY,PEK,50.24603174603175
BHY,SZX,21.14614830813535
BHY,TSN,162.0
BKI,KUL,6.0
BKI,SHA,2.0
BKI,SIN,14.0
BKI,TAO,0.0
BKK,CDG,35.0
BKK,CGO,227.83333333333334
BKK,CNX,49.5
BKK,CTU,65.0
BKK,FOC,6.0
BKK,HAK,0.0
BKK,HET,0.0
BKK,HGH,50.333333333333336
BKK,HKG,15.0
BKK,HKT,66.0
BKK,HND,82.5
BKK,KMG,120.8
BKK,KWL,18.0
BKK,NKG,19.0
BKK,PNH,82.0
BKK,PVG,235.2
BKK,SHA,27.0
BKK,SJW,24.5
BKK,SWA,85.0
BKK,SZX,107.0
BKK,TSN,49.0
BKK,TYN,18.0
BKK,WNZ,4.0
BKK,XIY,41.0
BKO,CDG,468.0
BLQ,FRA,27.0
BMA,HEL,26.0
BNE,BTH,41.0
BNE,CAN,294.5
BNE,MEL,9.0
BNE,SYD,21.0
BOM,COK,120.0
BOM,KTM,106.66666666666667
BOS,DTW,0.0
BOS,ORD,0.0
BPE,CGO,26.069124423963135
BPE,CSX,17.17241379310345
BPE,CTU,34.632183908045974
BPE,HAK,39.5
BPE,HET,30.058823529411764
BPE,HRB,28.351724137931033
BPE,PVG,38.76
BPE,SJW,33.78064516129032
BPE,TAO,33.157992565055764
BPE,WNZ,14.5
BPX,CTU,33.71992110453649
BPX,LXA,41.745354439091535
BPX,TSN,18.583333333333332
BRU,PRG,439.0
BSD,CTU,5.2
BSR,DXB,0.0
BUD,DOH,180.0
BUD,HEL,15.0
BUD,PRG,16.0
BWN,BKI,13.5
BWN,KUL,2.0
CAN,ACX,31.3125
CAN,AEB,32.319604612850085
CAN,AQG,25.660477453580903
CAN,AVA,37.972527472527474
CAN,BFJ,37.81044267877412
CAN,BHY,24.63003663003663
CAN,BKK,111.0
CAN,CGO,43.58981951494642
CAN,CGQ,33.15779861195666
CAN,CKG,39.63486842105263
CAN,CSX,38.84952481520591
CAN,CZX,54.458484763768524
CAN,DAX,43.61699650756694
CAN,DLC,34.62312006117767
CAN,DPS,98.83333333333333
CAN,DSN,21.0
CAN,FOC,36.315912181853506
CAN,FUO,554.25
CAN,HAK,30.0004482964734
CAN,HET,38.85748845392567
CAN,HFE,45.15764766131785
CAN,HIA,73.58223684210526
CAN,HKG,52.5
CAN,HZH,39.416666666666664
CAN,ICN,47.0
CAN,INC,18.092278719397363
CAN,IQN,17.42222222222222
CAN,JDZ,41.54756380510441
CAN,JHG,0.0
CAN,JNG,34.661368348306844
CAN,JNZ,21.0
CAN,JUH,26.86286594761171
CAN,JZH,30.662192393736017
CAN,KMG,33.90219356599461
CAN,KOW,37.08677966101695
CAN,KRY,146.0
CAN,LHW,32.657240961421934
CAN,LJG,29.511486859033266
CAN,LLB,34.049881235154395
CAN,LPF,34.568888888888885
CAN,LUM,27.533596837944664
CAN,LYA,23.677157360406092
CAN,LYG,48.95850622406639
CAN,MIG,32.05469277515193
CAN,MXZ,21.247928013260715
CAN,NAO,43.78249744114637
CAN,NGB,50.21826809015421
CAN,NKG,53.97933036578285
CAN,NNY,37.86534653465347
CAN,PEK,51.776591253383664
CAN,PEN,194.0
CAN,PNH,60.5
CAN,PVG,69.10375870069606
CAN,SHA,65.73188405797102
CAN,SHE,36.21296464188577
CAN,SYD,115.0
CAN,TNA,46.695354150799695
CAN,TSN,49.816337607707446
CAN,TVS,47.50819672131148
CAN,TYN,30.36829983249581
CAN,WNZ,34.26349967823086
CAN,WUH,36.566914382064574
CAN,WUX,57.78256089309878
CAN,XIY,34.0809028658382
CAN,XMN,42.142745098039214
CAN,XUZ,49.78754365541327
CAN,YBP,43.389467592592595
CAN,YIC,27.38784067085954
CAN,YIH,34.63814244716932
CAN,YNJ,74.5
CAN,YNT,32.442939244663386
CCU,KTM,5.0
CCU,VNS,153.0
CDE,SJW,51.0
CDG,ALG,13.0
CDG,AMS,19.0
CDG,BHX,94.4
CDG,BLL,0.0
CDG,CAN,64.0
CDG,CPH,52.0
CDG,FLR,0.0
CDG,FRA,7.5
CDG,HAM,221.5
CDG,NUE,379.0
CDG,OTP,6.5
CDG,TLV,161.33333333333334
CDG,ZRH,133.33333333333334
CEB,CGM,5.0
CEB,ICN,16.5
CGD,CAN,35.914098360655736
CGD,DYG,201.0
CGD,HAK,24.641815235008103
CGD,KMG,21.670411985018728
CGD,NKG,4.0
CGD,NNG,44.19713261648746
CGD,SHA,33.3018691588785
CGD,SZX,34.81634031060094
CGD,TSN,56.14705882352941
CGD,TYN,117.0
CGD,XMN,23.196428571428573
CGK,BKI,32.0
CGK,DPS,90.0
CGO,BAV,33.11759384893713
CGO,CGQ,34.805639666919
CGO,CIH,0.0
CGO,DNH,14.64516129032258
CGO,DSN,37.91497710922172
CGO,DYG,16.23913043478261
CGO,HDG,1136.0
CGO,HET,33.70302197802198
CGO,HLD,15.678456591639872
CGO,HRB,36.030353913717384
CGO,JNG,908.0
CGO,JZH,59.72583201267829
CGO,KBV,202.0
CGO,KHN,18.781447645818695
CGO,KJH,34.55882352941177
CGO,KRL,26.534708578912902
CGO,KWE,29.410455121882485
CGO,LJG,25.231386025200457
CGO,LPF,25.5765306122449
CGO,LXA,37.74241446094254
CGO,LZO,24.683908045977013
CGO,MXZ,34.596666666666664
CGO,NTG,37.25
CGO,PVG,42.86868686868687
CGO,SHA,41.39341011364503
CGO,SHF,38.14503816793893
CGO,SJW,313.0
CGO,SZX,56.19091060799911
CGO,TNA,20.524817518248174
CGO,TSN,41.158747903856906
CGO,UCB,19.734939759036145
CGO,URC,37.58012234014743
CGO,UYN,24.56829035339064
CGO,WDS,19.79047619047619
CGO,WEH,16.859770114942528
CGO,XFN,16.50843373493976
CGO,XMN,34.84950511114717
CGO,YCU,19.86111111111111
CGO,YIH,913.0
CGO,YNT,26.057291666666668
CGQ,BAV,21.03859649122807
CGQ,CSX,46.509253731343286
CGQ,CZX,25.554545454545455
CGQ,DLC,15.548571428571428
CGQ,DQA,1071.0
CGQ,FOC,53.09090909090909
CGQ,HET,14.80488869489306
CGQ,HRB,421.84761904761905
CGQ,KHN,43.10726643598616
CGQ,KWL,115.66666666666667
CGQ,LDS,1246.0
CGQ,LHW,16.416666666666668
CGQ,LYG,22.751785714285713
CGQ,MDG,19.0
CGQ,NBS,17.059486537257357
CGQ,NGB,39.413942011104254
CGQ,NKG,46.12036036036036
CGQ,NNG,266.3333333333333
CGQ,NTG,28.229508196721312
CGQ,PVG,33.996372002477656
CGQ,SHA,81.44444444444444
CGQ,SZX,30.74022776238843
CGQ,TPE,48.5
CGQ,TSN,27.840196681007992
CGQ,TVS,34.65976331360947
CGQ,TYN,17.137397194000968
CGQ,URC,68.11111111111111
CGQ,UYN,63.0
CGQ,WDS,41.26190476190476
CGQ,WUH,57.156742556917685
CGQ,XMN,33.104838709677416
CGQ,XNN,11.051020408163266
CGQ,YNJ,22.781875245194193
CGQ,YTY,45.473270440251575
CGQ,ZUH,36.76923076923077
CHC,AKL,3.6666666666666665
CHG,DLC,25.573924731182796
CHG,PEK,14.014208389715833
CHG,PVG,0.0
CIF,CGO,47.125
CIF,DLC,27.930648769574944
CIF,ERL,192.0
CIF,HET,16.46773916035788
CIF,HGH,26.02665121668598
CIF,LYI,17.45
CIF,PVG,8.75
CIF,TAO,39.18292682926829
CIF,TSN,31.66386554621849
CIF,TYN,52.0
CIH,CAN,41.75562072336266
CIH,CKG,18.13718820861678
CIH,CTU,18.33977900552486
CIH,DAT,27.66740823136819
CIH,DLC,21.41176470588235
CIH,HAK,23.949507389162562
CIH,HET,23.574257425742573
CIH,KMG,22.3850197109067
CIH,KWL,29.60952380952381
CIH,NAY,39.711921934662705
CIH,NNG,37.545081967213115
CIH,PEK,22.50709219858156
CIH,SJW,282.0
CIH,TAO,13.262345679012345
CIH,TYN,21.613469387755103
CIH,XMN,32.89375
CJU,CGQ,47.0
CJU,GMP,14.666666666666666
CJU,HGH,99.18181818181819
CJU,NKG,5.0
CJU,SHE,37.666666666666664
CJU,TAE,11.0
CJU,TSN,238.875
CJU,WNZ,223.0
CJU,WUH,63.0
CKG,AEB,22.283821478382148
CKG,AHJ,15.397435897435898
CKG,BAR,13.5
CKG,BAV,33.88286066584464
CKG,BFJ,30.516592920353983
CKG,BPX,31.82273342354533
CKG,CGO,27.930237534774236
CKG,CGQ,13.67016393442623
CKG,CNX,163.0
CKG,CTU,520.627027027027
CKG,CZX,47.95271178843568
CKG,DAX,1035.0
CKG,DCY,22.83478260869565
CKG,DIG,22.396
CKG,DLC,19.461105904404874
CKG,DNH,14.17142857142857
CKG,DSN,27.27040314650934
CKG,ENH,86.5
CKG,FOC,30.276565688274996
CKG,FUG,51.56439393939394
CKG,GYS,397.7
CKG,HAK,25.52537881924319
CKG,HCJ,31.635051546391754
CKG,HFE,34.12434444256471
CKG,HIA,46.99609375
CKG,HNY,14.568047337278106
CKG,HYN,41.896046852122986
CKG,JGN,12.285714285714286
