source,target,weight
ABE,ATL,442
ABE,BNA,26
ABE,CLT,264
ABE,DTW,468
ABE,FLL,34
ABE,MDW,4
ABE,MYR,41
ABE,ORD,367
ABE,PGD,64
ABE,PHL,2
ABE,PIE,71
ABE,SAV,19
ABE,SFB,170
ABE,SRQ,12
ABI,DFW,1010
ABI,IAH,20
ABQ,ATL,299
ABQ,AUS,121
ABQ,BWI,151
ABQ,CLT,6
ABQ,DAL,997
ABQ,DEN,1242
ABQ,DFW,1954
ABQ,HOU,443
ABQ,IAH,865
ABQ,JFK,219
ABQ,LAS,737
ABQ,LAX,862
ABQ,MCI,127
ABQ,MCO,47
ABQ,MDW,251
ABQ,MSP,69
ABQ,OAK,378
ABQ,ORD,456
ABQ,PDX,115
ABQ,PHX,1591
ABQ,SAN,259
ABQ,SAT,3
ABQ,SEA,261
ABQ,SFO,364
ABQ,SJC,10
ABQ,SLC,464
ABQ,SNA,1
ABR,MSP,303
ABY,ATL,532
ACK,BOS,124
ACK,CLT,7
ACK,DCA,61
ACK,EWR,34
ACK,HPN,7
ACK,JFK,249
ACK,LGA,58
ACK,ORD,3
ACK,PHL,10
ACT,DFW,1216
ACV,DEN,53
ACV,LAX,164
ACV,PHX,29
ACV,SFO,1155
ACY,ATL,98
ACY,BOS,78
ACY,DTW,32
ACY,FLL,507
ACY,MCO,689
ACY,MIA,4
ACY,MSY,10
ACY,MYR,118
ACY,ORD,19
ACY,PBI,112
ACY,RSW,375
ACY,SJU,1
ACY,TPA,199
ADK,ANC,31
ADK,CDB,41
ADQ,ANC,522
AEX,ATL,778
AEX,CLT,9
AEX,DFW,728
AEX,IAH,552
AGS,ATL,1368
AGS,CLT,413
AGS,DCA,16
AGS,DFW,104
AGS,LGA,2
AGS,MIA,2
AGS,ORD,4
AKN,ANC,73
AKN,DLG,15
ALB,ATL,276
ALB,BDL,1
ALB,BNA,5
ALB,BWI,685
ALB,CLT,568
ALB,DCA,323
ALB,DEN,98
ALB,DTW,505
ALB,EWR,78
ALB,FLL,229
ALB,IAD,21
ALB,LAS,35
ALB,MCO,495
ALB,MDW,350
ALB,MIA,3
ALB,MSP,62
ALB,MYR,13
ALB,ORD,924
ALB,PGD,17
ALB,PHL,66
ALB,PIE,31
ALB,RDU,5
ALB,RSW,20
ALB,SAV,8
ALB,SFB,30
ALB,TPA,127
ALO,ORD,335
ALS,DEN,24
ALW,SEA,52
AMA,AUS,1
AMA,AZA,4
AMA,DAL,918
AMA,DEN,214
AMA,DFW,1325
AMA,IAH,717
AMA,LAS,202
AMA,PHX,38
ANC,ADK,39
ANC,ADQ,366
ANC,AKN,107
ANC,ATL,76
ANC,BET,433
ANC,BRW,132
ANC,CDB,18
ANC,CDV,303
ANC,DEN,297
ANC,DFW,158
ANC,DLG,55
ANC,EWR,24
ANC,FAI,828
ANC,GEG,1
ANC,HNL,204
ANC,IAH,64
ANC,JFK,3
ANC,JNU,712
ANC,KOA,44
ANC,LAS,19
ANC,LAX,243
ANC,LGB,30
ANC,MSP,287
ANC,OGG,45
ANC,OME,240
ANC,ORD,362
ANC,OTZ,304
ANC,PDX,472
ANC,PHX,143
ANC,SCC,339
ANC,SEA,3817
ANC,SFO,89
ANC,SLC,63
APN,DTW,260
APN,PLN,59
ART,PHL,22
ASE,ATL,78
ASE,AUS,12
ASE,DEN,2094
ASE,DFW,614
ASE,IAH,472
ASE,LAX,908
ASE,MSP,24
ASE,MTJ,7
ASE,ORD,831
ASE,PHX,91
ASE,SFO,288
ASE,SLC,139
ASE,SNA,7
ATL,ABE,411
ATL,ABQ,256
ATL,ABY,548
ATL,ACY,118
ATL,AEX,706
ATL,AGS,1281
ATL,ALB,333
ATL,ANC,41
ATL,ASE,36
ATL,ATW,226
ATL,AUS,1652
ATL,AVL,1108
ATL,AVP,125
ATL,AZO,1
ATL,BDL,633
ATL,BGR,2
ATL,BHM,1335
ATL,BMI,516
ATL,BNA,1700
ATL,BOI,23
ATL,BOS,2101
ATL,BQK,560
ATL,BTR,1261
ATL,BTV,165
ATL,BUF,539
ATL,BUR,36
ATL,BWI,2603
ATL,BZN,51
ATL,CAE,1333
ATL,CAK,688
ATL,CHA,1679
ATL,CHO,600
ATL,CHS,1276
ATL,CID,429
ATL,CLE,1480
ATL,CLT,3455
ATL,CMH,1515
ATL,COS,136
ATL,CRW,743
ATL,CSG,733
ATL,CVG,1083
ATL,DAB,691
ATL,DAL,1383
ATL,DAY,497
ATL,DCA,2649
ATL,DEN,2787
ATL,DFW,3836
ATL,DHN,862
ATL,DSM,393
ATL,DTW,2299
ATL,ECP,980
ATL,EGE,39
ATL,ELM,6
ATL,ELP,275
ATL,EVV,573
ATL,EWN,350
ATL,EWR,2483
ATL,EYW,768
ATL,FAR,15
ATL,FAY,776
ATL,FCA,8
ATL,FLL,4283
ATL,FNT,339
ATL,FSD,174
ATL,FSM,371
ATL,FWA,869
ATL,GEG,6
ATL,GNV,1173
ATL,GPT,553
ATL,GRB,222
ATL,GRK,176
ATL,GRR,516
ATL,GSO,1108
ATL,GSP,1752
ATL,GTR,637
ATL,HDN,34
ATL,HHH,332
ATL,HNL,121
ATL,HOU,1622
ATL,HPN,815
ATL,HSV,1005
ATL,IAD,1741
ATL,IAH,2659
ATL,ICT,347
ATL,ILM,843
ATL,IND,1760
ATL,ISP,52
ATL,JAC,43
ATL,JAN,953
ATL,JAX,2307
ATL,JFK,873
ATL,LAN,3
ATL,LAS,2198
ATL,LAX,2818
ATL,LEX,1191
ATL,LFT,663
ATL,LGA,3243
ATL,LIT,906
ATL,LNK,144
ATL,MBS,1
ATL,MCI,1641
ATL,MCO,4847
ATL,MDT,342
ATL,MDW,1514
ATL,MEM,1458
ATL,MGM,1375
ATL,MHT,143
ATL,MIA,3099
ATL,MKE,1247
ATL,MLB,618
ATL,MLI,476
ATL,MLU,731
ATL,MOB,1260
ATL,MSN,379
ATL,MSO,8
ATL,MSP,1934
ATL,MSY,2578
ATL,MTJ,7
ATL,MYR,634
ATL,OAJ,640
ATL,OAK,87
ATL,OKC,792
ATL,OMA,718
ATL,ONT,73
ATL,ORD,4153
ATL,ORF,1002
ATL,PBI,1751
ATL,PDX,367
ATL,PHF,467
ATL,PHL,3055
ATL,PHX,1694
ATL,PIA,528
ATL,PIT,1316
ATL,PNS,1004
ATL,PSP,11
ATL,PVD,325
ATL,PWM,197
ATL,RAP,13
ATL,RDU,2247
ATL,RIC,1655
ATL,RNO,20
ATL,ROA,702
ATL,ROC,340
ATL,RST,153
ATL,RSW,1707
ATL,SAN,754
ATL,SAT,1322
ATL,SAV,1417
ATL,SBN,898
ATL,SCE,5
ATL,SDF,1206
ATL,SEA,1235
ATL,SFO,1255
ATL,SGF,615
ATL,SHV,1051
ATL,SJC,191
ATL,SJU,565
ATL,SLC,1373
ATL,SMF,279
ATL,SNA,351
ATL,SRQ,935
ATL,STL,1620
ATL,STT,253
ATL,STX,31
ATL,SYR,338
ATL,TLH,933
ATL,TPA,3410
ATL,TRI,1032
ATL,TTN,288
ATL,TUL,640
ATL,TUS,228
ATL,TVC,18
ATL,TYS,1114
ATL,VLD,612
ATL,VPS,929
ATL,XNA,815
ATW,ATL,203
ATW,AZA,19
ATW,BNA,29
ATW,CLT,20
