source,target,weight
ABE,ABQ,1
ABE,ALB,1
ABE,ATL,1
ABE,ATW,1
ABE,BDL,1
ABE,CAE,1
ABE,CAK,1
ABE,CLT,1
ABE,CMH,1
ABE,COS,1
ABE,CRP,1
ABE,CRW,1
ABE,CWA,1
ABE,DAL,1
ABE,DAY,1
ABE,DSM,1
ABE,EUG,1
ABE,FCA,1
ABE,FNT,1
ABE,FWA,1
ABE,GNV,1
ABE,GRB,1
ABE,GRR,1
ABE,GSP,1
ABE,HPN,1
ABE,HSV,1
ABE,IAD,1
ABE,IDA,1
ABE,LAS,1
ABE,LBB,1
ABE,LEX,1
ABE,LGB,1
ABE,MEM,1
ABE,MHT,1
ABE,MOT,1
ABE,MSY,1
ABE,ONT,1
ABE,ORF,1
ABE,PDX,1
ABE,PIA,1
ABE,PSC,1
ABE,PSP,1
ABE,PWM,1
ABE,ROC,1
ABE,RSW,1
ABE,SGF,1
ABE,SMF,1
ABE,STL,1
ABE,SYR,1
ABE,TUL,1
ABE,TUS,1
ABE,TVC,1
ABE,TYS,1
ABE,VLD,1
ABE,VPS,1
ABE,XNA,1
ABQ,ABE,1
ABQ,ALB,1
ABQ,ATL,1
ABQ,ATW,1
ABQ,BDL,1
ABQ,BHM,1
ABQ,BMI,1
ABQ,BNA,1
ABQ,BOI,1
ABQ,CAE,1
ABQ,CAK,1
ABQ,CLE,1
ABQ,CLT,1
ABQ,CMH,1
ABQ,CRW,1
ABQ,CWA,1
ABQ,DAY,1
ABQ,DCA,1
ABQ,DEN,1
ABQ,DSM,1
ABQ,FAR,1
ABQ,FLG,1
ABQ,FNT,1
ABQ,FSD,1
ABQ,FWA,1
ABQ,GEG,1
ABQ,GRB,1
ABQ,GSP,1
ABQ,HPN,1
ABQ,HSV,1
ABQ,IDA,1
ABQ,IND,1
ABQ,ISP,1
ABQ,JAC,1
ABQ,LAN,1
ABQ,LBB,1
ABQ,LEX,1
ABQ,MAF,1
ABQ,MCO,1
ABQ,MDT,1
ABQ,MEM,1
ABQ,OKC,1
ABQ,OMA,1
ABQ,ORF,1
ABQ,PHL,1
ABQ,PIA,1
ABQ,PSC,1
ABQ,PSP,1
ABQ,PWM,1
ABQ,RNO,1
ABQ,ROC,1
ABQ,SBA,1
ABQ,SGF,1
ABQ,SIT,1
ABQ,SYR,1
ABQ,TUL,1
ABQ,TVC,1
ABQ,TYS,1
ABQ,VPS,1
ABQ,XNA,1
ALB,ABE,1
ALB,BDL,1
ALB,BIS,1
ALB,BMI,1
ALB,BOS,1
ALB,BTR,1
ALB,CHS,1
ALB,FAR,1
ALB,FLG,1
ALB,FSD,1
ALB,GSP,1
ALB,ICT,1
ALB,IND,1
ALB,LAX,1
ALB,MAF,1
ALB,MDW,1
ALB,MGM,1
ALB,ORD,1
ALB,ORF,1
ALB,PSC,1
ALB,RIC,1
ALB,SBA,1
ALB,SDF,1
ALB,STL,1
ALB,STT,1
AMA,COS,1
AMA,ECP,1
AMA,GSO,1
AMA,KOA,1
AMA,MHK,1
AMA,OAK,1
AMA,ROA,1
AMA,VLD,1
AMA,YUM,1
ANC,BOS,1
ANC,CMH,1
ANC,EWR,1
ANC,FLL,1
ATL,BHM,1
ATL,DAY,1
ATL,GEG,1
ATL,HOU,1
ATL,MCI,1
ATL,ORF,1
ATL,PIT,1
ATL,PNS,1
ATL,PSP,1
ATL,RDU,1
ATW,ABE,1
ATW,BTR,1
ATW,BUR,1
ATW,BZN,1
ATW,COS,1
ATW,CRP,1
ATW,ECP,1
ATW,FAI,1
ATW,GSO,1
ATW,JNU,1
ATW,KOA,1
ATW,LAS,1
ATW,LGB,1
ATW,LSE,1
ATW,MHT,1
ATW,MOB,1
ATW,MSY,1
ATW,SFO,1
ATW,SHV,1
ATW,SLC,1
AUS,BWI,1
AUS,CVG,1
AUS,DEN,1
AUS,EWR,1
AUS,FLL,1
AUS,JFK,1
AUS,MYR,1
AUS,SAN,1
AZO,BOS,1
AZO,DSM,1
AZO,ELP,1
AZO,FAR,1
AZO,FLG,1
AZO,FSD,1
AZO,GEG,1
AZO,ICT,1
AZO,IND,1
AZO,LAN,1
AZO,LAX,1
AZO,MAF,1
AZO,MDW,1
AZO,MEM,1
AZO,MSP,1
AZO,ORD,1
AZO,SBA,1
BDL,ALB,1
BDL,ATL,1
BDL,ATW,1
BDL,AZO,1
BDL,BUR,1
BDL,BWI,1
BDL,CAK,1
BDL,CLE,1
BDL,CLT,1
BDL,CMH,1
BDL,CRW,1
BDL,DAY,1
BDL,DSM,1
BDL,ECP,1
BDL,FNT,1
BDL,FWA,1
BDL,GRB,1
BDL,GSO,1
BDL,HSV,1
BDL,IAD,1
BDL,IND,1
BDL,LEX,1
BDL,MCO,1
BDL,MEM,1
BDL,MHT,1
BDL,MSN,1
BDL,OMA,1
BDL,PHL,1
BDL,PSC,1
BDL,PSP,1
BDL,PWM,1
BDL,ROC,1
BDL,SGF,1
BDL,TUL,1
BDL,TYS,1
BDL,VPS,1
BFL,AMA,1
BFL,BZN,1
BFL,COS,1
BFL,ECP,1
BFL,FAI,1
BFL,GSO,1
BFL,JNU,1
BFL,KOA,1
BFL,LAS,1
BFL,LGB,1
BFL,LSE,1
BFL,MHT,1
BFL,MOB,1
BFL,MSY,1
BFL,PBI,1
BFL,RSW,1
BFL,SHV,1
BFL,SLC,1
BFL,TUS,1
BHM,ABE,1
BHM,ABQ,1
BHM,ALB,1
BHM,ATL,1
BHM,BDL,1
BHM,BIS,1
BHM,BMI,1
BHM,CAE,1
BHM,CAK,1
BHM,CHS,1
BHM,CLE,1
BHM,CLT,1
BHM,CMH,1
BHM,CRW,1
BHM,CWA,1
BHM,DAY,1
BHM,DEN,1
BHM,DSM,1
BHM,ELP,1
BHM,FAR,1
BHM,FLG,1
BHM,FNT,1
BHM,FSD,1
BHM,FWA,1
BHM,GRB,1
BHM,GRR,1
BHM,GSP,1
BHM,HPN,1
BHM,HRL,1
BHM,HSV,1
BHM,ICT,1
BHM,IDA,1
BHM,IND,1
BHM,ISP,1
BHM,LAN,1
BHM,LBB,1
BHM,LEX,1
BHM,LIT,1
BHM,MAF,1
BHM,MCI,1
BHM,MCO,1
BHM,MDT,1
BHM,MDW,1
BHM,MEM,1
BHM,MKE,1
BHM,MOT,1
BHM,MSN,1
BHM,MSP,1
BHM,MSY,1
BHM,OMA,1
BHM,ONT,1
BHM,ORD,1
BHM,ORF,1
BHM,PHL,1
BHM,PIA,1
BHM,PSC,1
BHM,PSP,1
BHM,PWM,1
BHM,ROC,1
BHM,SAT,1
BHM,SBA,1
BHM,SDF,1
BHM,SGF,1
BHM,SIT,1
BHM,SLC,1
BHM,STL,1
BHM,STT,1
BHM,SYR,1
BHM,TUL,1
BHM,TVC,1
BHM,TYS,1
BHM,VPS,1
BHM,XNA,1
BIS,ABQ,1
BIS,ALB,1
BIS,ATL,1
BIS,ATW,1
BIS,BDL,1
BIS,BHM,1
BIS,BNA,1
BIS,BOI,1
BIS,BTR,1
BIS,CLE,1
BIS,CLT,1
BIS,CMH,1
BIS,DAY,1
BIS,DEN,1
BIS,DSM,1
BIS,ELP,1
BIS,FAR,1
BIS,FCA,1
BIS,FLG,1
BIS,FNT,1
BIS,FWA,1
BIS,GEG,1
BIS,GRB,1
BIS,GRR,1
BIS,GSP,1
BIS,HSV,1
BIS,IDA,1
BIS,ISP,1
BIS,LAN,1
BIS,LBB,1
BIS,LRD,1
BIS,MCO,1
BIS,MEM,1
BIS,MOT,1
BIS,OAJ,1
BIS,OAK,1
BIS,ONT,1
BIS,ORF,1
BIS,PHL,1
BIS,PIA,1
BIS,PSC,1
BIS,PSP,1
BIS,PWM,1
BIS,ROC,1
BIS,SBA,1
BIS,SDF,1
BIS,SGF,1
BIS,SMF,1
BIS,STL,1
BIS,SYR,1
BIS,TUL,1
BIS,TUS,1
BIS,TVC,1
BIS,TYR,1
BIS,TYS,1
BIS,VPS,1
BIS,XNA,1
BMI,ABE,1
BMI,ABQ,1
BMI,ALB,1
BMI,ATL,1
BMI,BDL,1
BMI,BIS,1
BMI,BNA,1
BMI,BOI,1
BMI,BOS,1
