source,target,weight
AAT,TLQ,11
AAT,URC,466
AAT,YIN,5
ACX,CAN,46
ACX,CKG,1
ACX,CSX,14
ACX,CTU,74
ACX,FOC,24
ACX,HAK,10
ACX,KMG,173
ACX,KWE,1113
ACX,LHW,1
ACX,LJG,165
ACX,NAY,85
ACX,NGB,71
ACX,SHA,70
ACX,SZX,17
ACX,WUH,2
ACX,XIY,25
AEB,CAN,41
AEB,CKG,45
AEB,KWL,19
AEB,SZX,5
AHJ,CKG,6
AHJ,CTU,16
AKU,CGO,1
AKU,CKG,37
AKU,CTU,16
AKU,HTN,40
AKU,URC,453
AKU,XIY,18
AOG,CAN,65
AOG,CTU,2
AOG,PEK,61
AOG,PVG,97
AOG,SWA,1
AQG,CAN,16
AQG,CTU,4
AQG,HAK,96
AQG,KMG,55
AQG,NGB,60
AQG,PEK,93
AQG,SHA,84
AQG,SZX,18
AQG,TVS,15
AQG,XIY,150
AQG,XMN,15
AVA,CAN,15
AVA,CKG,91
AVA,HAK,23
AVA,HGH,62
AVA,JHG,71
AVA,KMG,69
AVA,KWL,10
AVA,LHW,2
AVA,LJG,117
AVA,NAY,19
AVA,NKG,2
AVA,SHA,11
AVA,SYX,48
AVA,SZX,4
AVA,XIY,19
AXF,BAV,2
AXF,DSN,1
AXF,EJN,35
AXF,HET,262
AXF,INC,5
AXF,RHT,93
AXF,XIY,50
BAR,CGO,2
BAR,CSX,1
BAR,CTU,4
BAR,HGH,3
BAR,KHN,9
BAR,KMG,1
BAR,KWE,11
BAR,LHW,4
BAR,NTG,8
BAR,PEK,3
BAR,SHA,1
BAR,SJW,1
BAR,SWA,1
BAR,SZX,1
BAR,TAO,18
BAR,TNA,3
BAR,TYN,1
BAR,XMN,1
BAR,XUZ,6
BAR,YNT,1
BAR,YTY,1
BAR,ZUH,6
BAV,CAN,56
BAV,CGO,32
BAV,CGQ,35
BAV,CIF,15
BAV,CKG,59
BAV,CSX,4
BAV,CTU,5
BAV,DLC,27
BAV,HGH,35
BAV,HLD,21
BAV,HRB,8
BAV,KMG,29
BAV,LHW,2
BAV,LYA,73
BAV,NAY,97
BAV,NKG,151
BAV,PEK,84
BAV,PVG,90
BAV,SHA,20
BAV,SHE,49
BAV,SJW,173
BAV,SZX,6
BAV,TSN,45
BAV,TYN,8
BAV,URC,13
BAV,WUH,38
BAV,XIY,29
BAV,YIE,1
BFJ,CAN,67
BFJ,CKG,251
BFJ,CSX,15
BFJ,CTU,116
BFJ,HAK,153
BFJ,HGH,69
BFJ,JHG,13
BFJ,KMG,184
BFJ,KWE,581
BFJ,LHW,11
BFJ,LJG,76
BFJ,NAY,53
BFJ,NKG,7
BFJ,NNG,79
BFJ,SHA,17
BFJ,SYX,35
BFJ,SZX,78
BFJ,WUH,19
BFJ,XIY,50
BFJ,XMN,35
BHY,CAN,21
BHY,CKG,34
BHY,CSX,39
BHY,CTU,18
BHY,HAK,46
BHY,HFE,68
BHY,HGH,4
BHY,HJJ,26
BHY,KHN,48
BHY,KMG,25
BHY,KWE,51
BHY,KWL,10
BHY,LJG,11
BHY,LZH,8
BHY,NKG,13
BHY,PEK,24
BHY,PVG,62
BHY,SHA,7
BHY,SJW,2
BHY,SZX,47
BHY,WNZ,20
BHY,WUH,26
BHY,XIY,5
BHY,ZYI,24
BPE,CGO,9
BPE,CTU,68
BPE,HET,4
BPE,HRB,26
BPE,NKG,20
BPE,PVG,13
BPE,SJW,62
BPE,TAO,21
BPE,XUZ,17
BPE,ZQZ,12
BPL,URC,216
BPX,CKG,74
BPX,CTU,18
BPX,LXA,32
BSD,HGH,25
BSD,KMG,331
BSD,PEK,13
BSD,XIY,2
CAN,ACX,25
CAN,AEB,58
CAN,AOG,22
CAN,AQG,21
CAN,AVA,5
CAN,BAR,2
CAN,BAV,62
CAN,BFJ,41
CAN,BHY,20
CAN,CGD,71
CAN,CGO,320
CAN,CGQ,199
CAN,CIH,17
CAN,CKG,617
CAN,CSX,222
CAN,CTU,612
CAN,CZX,287
CAN,DAX,17
CAN,DIG,19
CAN,DLC,124
CAN,DLU,2
CAN,DYG,50
CAN,ENY,1
CAN,FOC,213
CAN,FUG,23
CAN,GYS,74
CAN,HAK,1090
CAN,HDG,32
CAN,HET,109
CAN,HFE,343
CAN,HGH,890
CAN,HIA,20
CAN,HJJ,24
CAN,HLD,18
CAN,HRB,203
CAN,HYN,112
CAN,HZH,12
CAN,INC,4
CAN,IQN,2
CAN,JDZ,60
CAN,JGS,134
CAN,JIQ,13
CAN,JJN,151
CAN,JNG,114
CAN,JUH,24
CAN,JZH,5
CAN,KHG,2
CAN,KHN,277
CAN,KJH,11
CAN,KMG,420
CAN,KOW,43
CAN,KWE,193
CAN,KWL,8
CAN,LFQ,14
CAN,LHW,97
CAN,LJG,124
CAN,LLB,42
CAN,LPF,7
CAN,LUM,9
CAN,LXA,2
CAN,LYA,28
CAN,LYG,33
CAN,LYI,172
CAN,LZH,17
CAN,LZO,69
CAN,LZY,19
CAN,MIG,46
CAN,MXZ,192
CAN,NAO,68
CAN,NAY,65
CAN,NGB,363
CAN,NKG,974
CAN,NNG,58
CAN,NNY,68
CAN,NTG,214
CAN,PEK,780
CAN,PEN,1
CAN,PNH,3
CAN,PVG,254
CAN,RIZ,4
CAN,SHA,1307
CAN,SHE,251
CAN,SJW,80
CAN,SQJ,4
CAN,SWA,209
CAN,SYX,465
CAN,SZX,1
CAN,TAO,303
CAN,TEN,50
CAN,TNA,363
CAN,TSN,321
CAN,TVS,21
CAN,TXN,63
CAN,TYN,177
CAN,URC,280
CAN,WDS,25
CAN,WEF,63
CAN,WNZ,407
CAN,WUH,391
CAN,WUS,29
CAN,WUT,22
CAN,WUX,456
CAN,WXN,46
CAN,XFN,40
CAN,XIY,584
CAN,XMN,350
CAN,XNN,38
CAN,XUZ,75
CAN,YBP,77
CAN,YCU,63
CAN,YIC,55
CAN,YIH,103
CAN,YIW,197
CAN,YNT,14
CAN,YNZ,77
CAN,YTY,54
CAN,ZHA,447
CAN,ZYI,76
CGD,CAN,57
CGD,FOC,1
CGD,HAK,44
CGD,KMG,69
CGD,NKG,1
CGD,NNG,31
CGD,PEK,25
CGD,SHA,73
CGD,SHE,3
CGD,SZX,29
CGD,TSN,3
CGD,XIY,32
CGD,XMN,11
CGO,AKU,3
CGO,BAR,5
CGO,BAV,38
CGO,BHY,2
CGO,BPE,3
CGO,CAN,324
CGO,CGQ,45
CGO,CIF,1
CGO,CKG,542
CGO,CTU,290
CGO,DLC,259
CGO,DOY,12
CGO,DSN,23
CGO,DYG,1
