source,target,weight
ABE,ATL,6
ABE,DTW,15
ABE,ORD,4
ABI,DFW,53
ABQ,ATL,6
ABQ,BWI,6
ABQ,DAL,21
ABQ,DEN,9
ABQ,DFW,33
ABQ,HOU,3
ABQ,IAH,28
ABQ,JFK,5
ABQ,LAS,18
ABQ,LAX,24
ABQ,MCI,1
ABQ,MDW,5
ABQ,MSP,1
ABQ,OAK,5
ABQ,ORD,10
ABQ,PHX,33
ABQ,SAN,8
ABQ,SEA,4
ABQ,SFO,4
ABQ,SLC,8
ABR,MSP,4
ABY,ATL,9
ACT,DFW,46
ACV,SFO,17
ACY,FLL,11
ACY,MCO,22
ACY,MYR,2
ACY,PBI,3
ACY,RSW,8
ACY,TPA,4
ADQ,ANC,6
AEX,ATL,21
AEX,DFW,22
AEX,IAH,24
AGS,ATL,36
ALB,ATL,7
ALB,BWI,12
ALB,CLT,4
ALB,DTW,1
ALB,FLL,2
ALB,IAD,2
ALB,MCO,4
ALB,MDW,8
ALB,ORD,6
ALB,TPA,2
ALO,ORD,9
AMA,DAL,16
AMA,DEN,17
AMA,DFW,74
AMA,IAH,17
AMA,LAS,5
ANC,ADQ,2
ANC,BET,2
ANC,BRW,3
ANC,DEN,11
ANC,FAI,5
ANC,JNU,14
ANC,LAX,1
ANC,OME,4
ANC,ORD,1
ANC,OTZ,8
ANC,PDX,7
ANC,SCC,7
ANC,SEA,22
APN,DTW,16
ASE,ATL,1
ASE,DEN,31
ASE,DFW,13
ASE,IAH,3
ASE,LAX,22
ASE,ORD,17
ASE,SFO,5
ATL,ABE,15
ATL,ABQ,1
ATL,ABY,12
ATL,AEX,18
ATL,AGS,28
ATL,ALB,7
ATL,ASE,2
ATL,ATW,5
ATL,AUS,12
ATL,AVL,18
ATL,AVP,6
ATL,BDL,15
ATL,BHM,25
ATL,BMI,20
ATL,BNA,23
ATL,BOS,21
ATL,BQK,8
ATL,BTR,42
ATL,BTV,4
ATL,BUF,7
ATL,BWI,29
ATL,CAE,32
ATL,CAK,16
ATL,CHA,24
ATL,CHO,8
ATL,CHS,25
ATL,CID,20
ATL,CLE,19
ATL,CLT,64
ATL,CMH,33
ATL,COS,1
ATL,CRW,11
ATL,CSG,14
ATL,CVG,11
ATL,DAB,12
ATL,DAL,10
ATL,DAY,2
ATL,DCA,50
ATL,DEN,29
ATL,DFW,70
ATL,DHN,7
ATL,DSM,11
ATL,DTW,33
ATL,ECP,15
ATL,ELP,3
ATL,EVV,18
ATL,EWN,8
ATL,EWR,24
ATL,EYW,12
ATL,FAR,1
ATL,FAY,17
ATL,FLL,46
ATL,FNT,10
ATL,FSD,6
