source,target,weight
ABE,ATL,6.5174825174825175
ABE,DTW,10.272058823529411
ABI,DFW,12.06858407079646
ABQ,DAL,15.76206896551724
ABQ,DEN,11.197115384615385
ABQ,DFW,10.154471544715447
ABQ,HOU,11.742857142857142
ABQ,JFK,16.5
ABQ,LAS,10.419491525423728
ABQ,LAX,10.698675496688741
ABQ,MCI,16.314814814814813
ABQ,ORD,41.283018867924525
ABQ,PDX,11.4
ABQ,PHX,10.234375
ABQ,SAN,9.481132075471699
ABQ,SEA,6.362903225806452
ABQ,SFO,13.96774193548387
ABQ,SLC,3.13855421686747
ABR,MSP,19.6
ACY,MCO,10.087431693989071
ACY,MYR,8.087719298245615
ACY,PBI,2.933333333333333
ACY,RSW,13.721311475409836
ACY,TPA,6.758064516129032
ADK,ANC,2.1666666666666665
ADQ,ANC,5.172413793103448
AEX,DFW,9.777173913043478
AEX,IAH,8.21875
ALB,ATL,14.433734939759036
ALB,CLT,8.169354838709678
ALB,IAD,22.0
ALB,LAS,37.0
ALB,MCO,9.505952380952381
ALB,ORD,27.09917355371901
ALO,ORD,27.020408163265305
AMA,DAL,9.083333333333334
AMA,DEN,18.906542056074766
AMA,LAS,7.612903225806452
ANC,BET,5.8
ANC,CDV,7.2
ANC,DEN,26.822580645161292
ANC,HNL,9.575
ANC,KOA,2.210526315789474
ANC,MSP,8.942028985507246
ANC,OGG,11.962962962962964
ANC,OME,4.438202247191011
ANC,ORD,28.058823529411764
ANC,OTZ,10.206521739130435
ANC,PDX,3.9160839160839163
ANC,PHX,3.272727272727273
ANC,SCC,7.375
ANC,SEA,7.685835995740149
ASE,ATL,11.372881355932204
ASE,DEN,21.715625
ASE,LAX,21.39463601532567
ASE,MSP,40.45454545454545
ATL,ABQ,10.485714285714286
ATL,ABY,11.56875
ATL,AEX,10.660550458715596
ATL,AGS,11.625
ATL,AUS,6.157057654075547
ATL,AVL,5.471810089020772
ATL,AVP,6.916666666666667
ATL,AZO,22.833333333333332
ATL,BDL,8.44468085106383
ATL,BMI,18.14503816793893
ATL,BNA,7.594059405940594
ATL,BOS,9.649051490514905
ATL,BQK,6.1726190476190474
ATL,BTR,16.660674157303372
ATL,BTV,16.78688524590164
ATL,BUF,5.72093023255814
ATL,BZN,10.9
ATL,CAE,11.78125
ATL,CHO,10.157894736842104
ATL,CLE,6.544018058690745
ATL,CMH,9.383587786259541
ATL,COS,35.907407407407405
ATL,CRW,11.236994219653178
ATL,CVG,5.30225988700565
ATL,DAY,4.345991561181434
ATL,DEN,11.424639580602884
ATL,DSM,7.666666666666667
ATL,DTW,10.78688524590164
ATL,ECP,15.421212121212122
ATL,EGE,11.064516129032258
ATL,ELM,66.16666666666667
ATL,ELP,7.530434782608696
ATL,EVV,14.215116279069768
ATL,EYW,11.514492753623188
ATL,FAR,9.0
ATL,FAY,12.295819935691318
ATL,FNT,8.120689655172415
ATL,FSD,17.80327868852459
ATL,FSM,14.146496815286625
ATL,FWA,25.466666666666665
ATL,GNV,13.83529411764706
ATL,GPT,7.870967741935484
ATL,GRK,21.038834951456312
ATL,GRR,9.955555555555556
ATL,GSO,10.52914798206278
ATL,GSP,12.505494505494505
ATL,GTR,9.251497005988025
ATL,HDN,12.24074074074074
ATL,HNL,4.17741935483871
ATL,HOU,8.430232558139535
ATL,HPN,15.538194444444445
ATL,HSV,8.364102564102565
ATL,IAD,15.203020134228188
ATL,IAH,7.667655786350148
ATL,ICT,10.401234567901234
ATL,JAC,7.3125
ATL,JAN,6.830917874396135
ATL,JFK,17.922033898305084
ATL,LAN,15.25
ATL,LAS,7.206030150753769
ATL,LAX,8.42989417989418
ATL,LEX,14.671641791044776
ATL,LFT,8.723756906077348
ATL,LGA,13.20610119047619
ATL,LNK,8.362068965517242
ATL,MBS,21.285714285714285
ATL,MCI,8.173202614379084
ATL,MHT,13.175438596491228
ATL,MIA,8.674418604651162
ATL,MKE,7.61278863232682
ATL,MLB,5.665254237288136
ATL,MLI,12.298850574712644
ATL,MLU,10.026785714285714
ATL,MSN,6.10655737704918
ATL,MSO,3.0
ATL,MSP,8.757177033492823
ATL,MTJ,0.8125
ATL,MYR,9.515555555555556
ATL,OAJ,11.072398190045249
ATL,OAK,27.5
ATL,OKC,5.933717579250721
ATL,OMA,9.30952380952381
ATL,ONT,0.8333333333333334
ATL,ORD,16.13857290589452
ATL,ORF,5.435695538057743
ATL,PBI,8.461322081575247
ATL,PHF,8.274725274725276
ATL,PHL,11.028116213683225
ATL,PHX,6.948091603053435
ATL,PIA,13.344537815126051
ATL,PVD,6.981012658227848
ATL,PWM,11.64
ATL,RAP,4.666666666666667
ATL,RIC,10.811290322580644
ATL,ROA,12.58849557522124
ATL,RSW,5.134529147982063
ATL,SAT,7.203454894433781
ATL,SBN,25.402714932126695
ATL,SCE,0.16666666666666666
ATL,SDF,6.987096774193549
ATL,SEA,7.179144385026738
ATL,SFO,9.5893536121673
ATL,SGF,7.911764705882353
ATL,SHV,9.716374269005849
ATL,SJC,14.652173913043478
ATL,SJU,7.6895522388059705
ATL,SLC,4.409502262443439
ATL,SMF,6.8522727272727275
ATL,SNA,9.182857142857143
ATL,SRQ,6.7733711048158645
ATL,STL,7.137931034482759
ATL,STX,6.0
ATL,TLH,13.62280701754386
ATL,TRI,6.0638297872340425
ATL,TUS,7.429906542056075
ATL,TYS,4.414847161572053
ATL,VLD,8.617647058823529
ATL,VPS,6.671597633136095
ATL,XNA,9.992957746478874
ATW,ATL,19.191176470588236
ATW,DTW,10.32876712328767
ATW,MSP,9.287671232876713
ATW,ORD,14.982608695652173
AUS,BOS,9.551724137931034
AUS,BWI,11.050420168067227
AUS,CLT,9.803921568627452
AUS,DCA,3.1451612903225805
AUS,DEN,16.118303571428573
AUS,DFW,11.700122399020808
AUS,DTW,10.512820512820513
AUS,ELP,18.112
AUS,FLL,11.129032258064516
AUS,HRL,5.836065573770492
AUS,JFK,15.720754716981132
AUS,LAS,9.403314917127071
AUS,LBB,12.12
AUS,LGB,8.794520547945206
AUS,MCO,9.994413407821229
AUS,OAK,13.274193548387096
AUS,SAN,9.238938053097344
AUS,SEA,2.225806451612903
AUS,SLC,8.333333333333334
AVL,EWR,34.7
AVL,ORD,27.90909090909091
AVP,DTW,13.06
AVP,EWR,0.0
AZO,ORD,18.734597156398106
BDL,CLT,7.350393700787402
BDL,DFW,18.17094017094017
BDL,FLL,12.186528497409327
BDL,IAD,25.02758620689655
BDL,MDW,10.620967741935484
BDL,ORD,21.91826923076923
BDL,RSW,12.05084745762712
BDL,SJU,18.695121951219512
BDL,TPA,11.182320441988951
BFL,PHX,8.538461538461538
BFL,SFO,24.66386554621849
BHM,ATL,8.616
BHM,BWI,12.0
BHM,DAL,10.801242236024844
BHM,DEN,18.934426229508198
BHM,DFW,22.926136363636363
BHM,IAH,10.996336996336996
BHM,LGA,32.71084337349398
BHM,MDW,12.772727272727273
BHM,MIA,4.89344262295082
BHM,TPA,11.46551724137931
BIL,DEN,15.322033898305085
BIS,DEN,30.796296296296298
BIS,MSP,10.857142857142858
BIS,ORD,22.17241379310345
BJI,MSP,9.292682926829269
BLI,HNL,3.1333333333333333
BLI,LAS,10.258064516129032
BLI,SEA,1.75
BMI,DEN,11.833333333333334
BMI,DFW,16.267241379310345
BMI,MCO,34.27777777777778
BMI,MSP,19.58695652173913
BMI,ORD,19.53061224489796
BNA,AUS,8.522522522522523
BNA,BOS,12.033333333333333
BNA,CLT,2.1822033898305087
BNA,CVG,10.527472527472527
BNA,DCA,4.713414634146342
BNA,DEN,13.575070821529746
BNA,DFW,9.762008733624453
BNA,DTW,13.256493506493506
BNA,FLL,6.603053435114504
BNA,IAD,11.357142857142858
BNA,IAH,8.608527131782946
BNA,LAS,9.611940298507463
BNA,LAX,8.853932584269662
BNA,MCO,9.81640625
BNA,MDW,13.564179104477612
BNA,ORD,19.414721723518852
BNA,PHL,13.245283018867925
BNA,PHX,15.560344827586206
BNA,PIT,8.03225806451613
BNA,SAN,10.435483870967742
BNA,SAT,11.672566371681416
BNA,SLC,13.0
BNA,TPA,11.228070175438596
BNA,TTN,12.5
BOI,DEN,17.38082191780822
BOI,GEG,14.158878504672897
BOI,IAH,23.47457627118644
BOI,LAS,14.975806451612904
BOI,LAX,12.986013986013987
BOI,MSP,7.337078651685394
BOI,PHX,9.407216494845361
BOI,SAN,7.733333333333333
BOI,SLC,5.025862068965517
BOS,BUF,11.858895705521473
BOS,BWI,10.613772455089821
BOS,CAK,9.76923076923077
BOS,CHS,7.8474576271186445
BOS,CLT,7.512355848434926
BOS,CVG,22.9375
BOS,DCA,8.128395061728394
BOS,DEN,20.31103678929766
BOS,DFW,12.968109339407745
BOS,DTW,8.173664122137405
BOS,EWR,14.220665499124344
BOS,FLL,12.087719298245615
BOS,HOU,13.255952380952381
BOS,IAH,14.923694779116467
BOS,JAX,16.198675496688743
BOS,JFK,14.286363636363637
BOS,LAS,14.558823529411764
BOS,LAX,9.215953307392995
BOS,LGA,11.948364888123924
BOS,LGB,6.297297297297297
BOS,MIA,12.849009900990099
BOS,MKE,17.19148936170213
BOS,MSY,17.120689655172413
BOS,ORD,15.755214050493963
BOS,PBI,14.219251336898395
BOS,PDX,13.043478260869565
BOS,PHL,13.436848203939745
BOS,PHX,12.467248908296943
BOS,PIT,9.295454545454545
BOS,RDU,12.883408071748878
BOS,RIC,10.905714285714286
BOS,RSW,15.134078212290502
BOS,SAN,15.37012987012987
BOS,SAV,7.535714285714286
BOS,SEA,17.75
BOS,SJC,11.0
BOS,SLC,9.857142857142858
BOS,SRQ,13.089285714285714
BOS,STT,11.316666666666666
BOS,TPA,13.654450261780104
BPT,DFW,21.972067039106147
BQN,EWR,31.068181818181817
BQN,JFK,9.942857142857143
BRD,MSP,6.772277227722772
BRO,DFW,13.491017964071856
BRO,IAH,10.159817351598173
BRW,ANC,9.571428571428571
BRW,FAI,21.838709677419356
BTM,SLC,0.7058823529411765
BTR,DCA,43.0
BTR,DFW,15.15184381778742
BTV,EWR,30.46153846153846
BTV,IAD,20.615384615384617
BTV,JFK,8.83529411764706
BTV,LGA,18.363636363636363
BTV,ORD,29.477272727272727
BUF,BWI,14.729452054794521
BUF,CLT,9.407239819004525
BUF,EWR,14.333333333333334
BUF,IAD,10.34
BUF,JFK,13.461309523809524
BUF,MCO,14.891472868217054
BUF,MDW,15.11111111111111
BUF,MSP,0.0
BUF,ORD,19.964102564102564
BUF,PHX,8.442622950819672
BUF,RSW,2.25
BUR,DEN,20.75545851528384
BUR,JFK,9.9
BUR,LAS,9.817005545286506
BUR,PDX,6.654545454545454
BUR,SEA,9.736559139784946
BUR,SFO,12.692579505300353
BUR,SLC,5.23015873015873
BUR,SMF,7.779569892473118
BWI,ABQ,16.016129032258064
BWI,ALB,11.760504201680673
BWI,ATL,10.196666666666667
BWI,BDL,15.938837920489297
BWI,BNA,13.047021943573668
BWI,CLT,7.9263322884012535
BWI,CMH,8.707207207207206
BWI,DEN,15.564625850340136
BWI,DFW,16.461016949152544
BWI,EWR,17.166666666666668
BWI,HOU,10.728915662650602
BWI,IAH,12.875
BWI,ISP,13.809917355371901
BWI,JAX,15.391061452513966
BWI,LIT,14.784313725490197
BWI,MEM,8.790322580645162
BWI,MHT,10.144736842105264
BWI,MIA,15.817258883248732
BWI,MKE,13.168067226890756
BWI,MSP,3.7927927927927927
BWI,MSY,12.23076923076923
BWI,ORD,22.94984326018809
BWI,ORF,15.096045197740112
BWI,PBI,14.487046632124352
BWI,PHX,13.489539748953975
BWI,PIT,6.831325301204819
BWI,PWM,11.755905511811024
BWI,RDU,10.893687707641195
BWI,ROC,11.166666666666666
BWI,RSW,14.569491525423729
BWI,SAN,13.672566371681416
BWI,SAT,13.427272727272728
BWI,SDF,8.149068322981366
BWI,SEA,7.903225806451613
BWI,TPA,9.973474801061007
BZN,DEN,22.858974358974358
BZN,EWR,43.07142857142857
BZN,IAH,24.27777777777778
BZN,LAX,3.0
BZN,ORD,30.75
BZN,SEA,85.25
BZN,SFO,3.9
BZN,SLC,5.724719101123595
CAE,DFW,12.875776397515528
CAE,IAD,25.017857142857142
CAE,LGA,20.6625
CAE,ORD,15.472727272727273
CAK,ATL,8.737569060773481
CAK,MCO,7.275862068965517
CAK,RSW,11.797101449275363
CAK,TPA,4.919354838709677
CDC,SLC,5.39622641509434
CDV,YAK,6.833333333333333
CEC,SFO,28.84873949579832
CHA,ATL,4.955497382198953
CHA,DFW,10.919642857142858
CHA,DTW,9.416666666666666
CHA,ORD,25.363636363636363
CHO,LGA,25.301075268817204
CHS,ATL,5.618143459915612
CHS,BNA,6.0
CHS,BWI,10.35672514619883
CHS,CLT,7.591397849462366
CHS,DCA,14.952830188679245
CHS,DFW,19.983333333333334
CHS,EWR,15.168
CHS,HOU,11.080645161290322
CHS,IAD,29.125
CHS,IAH,6.705263157894737
CHS,JFK,10.9
CHS,MDW,14.049180327868852
CHS,MIA,11.158730158730158
CHS,ORD,22.016666666666666
CID,ATL,17.658823529411766
CID,DEN,27.14851485148515
CID,DFW,25.123015873015873
CID,MSP,10.023809523809524
CID,ORD,19.723320158102766
CIU,DTW,16.49122807017544
CLD,LAX,4.545
CLE,BDL,26.785714285714285
CLE,BNA,8.833333333333334
CLE,BOS,7.348148148148148
CLE,BWI,12.634408602150538
CLE,DFW,19.18088737201365
CLE,DTW,11.744444444444444
CLE,FLL,11.575757575757576
CLE,IAD,7.535483870967742
CLE,IAH,8.142857142857142
CLE,LAS,16.91869918699187
CLE,LAX,8.619718309859154
CLE,LGA,16.014314928425357
CLE,MCO,17.022222222222222
CLE,MDW,9.840989399293287
CLE,MKE,5.05511811023622
CLE,PHX,16.20125786163522
CLE,RDU,13.645833333333334
CLE,RSW,9.259493670886076
CLE,SJU,17.666666666666668
CLE,STL,2.817073170731707
CLE,TPA,10.205479452054794
CLL,DFW,16.427586206896553
CLL,IAH,12.41904761904762
CLT,ATL,6.669513236549958
CLT,CLE,3.8646288209606987
CLT,CMH,6.821428571428571
CLT,CVG,5.966666666666667
CLT,DCA,7.081140350877193
CLT,DEN,8.010416666666666
CLT,EWR,10.73076923076923
CLT,FLL,5.713080168776371
CLT,IAD,29.0
CLT,ILM,4.5
CLT,IND,6.857142857142857
CLT,JAX,5.348780487804878
CLT,JFK,15.08590308370044
CLT,LAS,3.6859205776173285
CLT,MCI,5.573076923076923
CLT,MCO,6.832402234636872
CLT,MDT,4.69811320754717
CLT,MEM,4.528409090909091
CLT,MIA,5.700367647058823
CLT,MSY,7.244755244755245
CLT,ORF,3.0628930817610063
CLT,PBI,5.920588235294118
CLT,PDX,7.03030303030303
CLT,PHX,10.25625
CLT,PIT,5.764705882352941
CLT,RDU,4.640816326530612
CLT,ROC,12.403225806451612
CLT,RSW,6.225714285714286
CLT,SEA,14.910891089108912
CLT,SJU,7.757352941176471
CLT,STL,7.54054054054054
CLT,STT,17.144736842105264
CLT,STX,15.9
CLT,SYR,4.383838383838384
CLT,TPA,7.875
CLT,TTN,16.03030303030303
CMH,BNA,13.432432432432432
CMH,DFW,14.551867219917012
CMH,DTW,2.5
CMH,FLL,15.508196721311476
CMH,IAH,8.969465648854962
CMH,LAS,12.777777777777779
CMH,LAX,8.176470588235293
CMH,MIA,14.491935483870968
CMH,ORD,31.252144082332762
CMH,PHX,12.768361581920903
CMH,RSW,9.868421052631579
CMH,STL,12.12
CMH,TPA,8.348484848484848
CMI,DFW,12.774193548387096
CNY,SLC,0.5185185185185185
COD,DEN,15.454545454545455
COD,SLC,2.7049180327868854
COS,DEN,18.860349127182044
COS,IAH,19.445714285714285
COS,LAX,18.06779661016949
COS,ORD,36.453125
COS,SEA,36.57627118644068
COU,ORD,34.84426229508197
CPR,DEN,15.912442396313365
CPR,SLC,1.3454545454545455
CRP,HOU,6.02262443438914
CRP,HRL,206.0
CRW,DFW,37.7962962962963
CRW,IAH,12.537037037037036
CRW,ORD,19.86764705882353
CSG,ATL,15.84375
CVG,DFW,14.514705882352942
CVG,DTW,12.52
CVG,EWR,11.616438356164384
CVG,FLL,5.291666666666667
CVG,IAD,10.4
CVG,IAH,13.28054298642534
CVG,JFK,23.155172413793103
CVG,LAS,10.876923076923077
CVG,LAX,8.485294117647058
CVG,LGA,31.166666666666668
CVG,MCO,13.0875
CVG,MEM,0.5833333333333334
CVG,MIA,15.112903225806452
CVG,MKE,6.551020408163265
CVG,MSN,10.7
CVG,ORD,20.769100169779286
CVG,PHX,21.444444444444443
CVG,RSW,1.3888888888888888
CVG,SFO,0.6136363636363636
CVG,SLC,9.602941176470589
CVG,STL,3.675
CVG,TPA,1.411764705882353
CVG,TTN,44.833333333333336
CWA,MSP,0.0
CWA,ORD,22.272727272727273
DAB,ATL,4.376569037656904
DAL,ATL,10.582995951417004
DAL,AUS,8.734767025089607
DAL,BNA,7.524193548387097
DAL,BWI,12.403225806451612
DAL,DCA,7.2693877551020405
DAL,IAH,5.7625
DAL,ICT,7.527777777777778
DAL,LAS,14.10483870967742
DAL,LAX,11.285371702637889
DAL,LBB,5.194945848375451
DAL,LGA,16.94517543859649
DAL,LIT,11.94054054054054
DAL,MDW,13.32409972299169
DAL,OAK,8.865384615384615
DAL,OKC,8.412429378531073
DAL,PHX,13.096774193548388
